,コード,銘柄名,33業種コード,33業種区分
2730,6269,三井海洋開発,3600,機械
2731,6272,レオン自動機,3600,機械
2732,6273,SMC,3600,機械
2733,6276,シリウスビジョン,3650,電気機器
2734,6277,ホソカワミクロン,3600,機械
2735,6278,ユニオンツール,3600,機械
2736,6279,瑞光,3600,機械
2737,6282,オイレス工業,3600,機械
2738,6284,日精エー・エス・ビー機械,3600,機械
2739,6286,靜甲,3600,機械
2740,6287,サトー,3600,機械
2741,6289,技研製作所,3600,機械
2742,6291,日本エアーテック,3600,機械
2743,6292,カワタ,3600,機械
2744,6294,オカダアイヨン,3600,機械
2745,6298,ワイエイシイホールディングス,3600,機械
2746,6301,小松製作所,3600,機械
2747,6302,住友重機械工業,3600,機械
2748,6305,日立建機,3600,機械
2749,6306,日工,3600,機械
2750,6307,サンセイ,3600,機械
2751,6309,巴工業,3600,機械
2752,6310,井関農機,3600,機械
2753,6315,TOWA,3600,機械
2754,6316,丸山製作所,3600,機械
2755,6317,北川鉄工所,3600,機械
2756,6322,タクミナ,3600,機械
2757,6323,ローツェ,3600,機械
2758,6324,ハーモニック・ドライブ・システムズ,3600,機械
2759,6325,タカキタ,3600,機械
2760,6326,クボタ,3600,機械
2761,6327,北川精機,3600,機械
2762,6328,荏原実業,3600,機械
2763,6330,東洋エンジニアリング,2050,建設業
2764,6331,三菱化工機,3600,機械
2765,6332,月島ホールディングス,3600,機械
2766,6333,帝国電機製作所,3600,機械
2767,6334,明治機械,3600,機械
2768,6335,東京機械製作所,3600,機械
2769,6336,石井表記,3600,機械
2770,6337,テセック,3600,機械
2771,6338,タカトリ,3600,機械
2772,6339,新東工業,3600,機械
2773,6340,澁谷工業,3600,機械
2774,6342,太平製作所,3600,機械
2775,6343,フリージア・マクロス,3600,機械
2776,6345,アイチ　コーポレーション,3600,機械
2777,6346,キクカワエンタープライズ,3600,機械
2778,6347,プラコー,3600,機械
2779,6349,小森コーポレーション,3600,機械
2780,6351,鶴見製作所,3600,機械
2781,6356,日本ギア工業,3600,機械
2782,6357,三精テクノロジーズ,3600,機械
2783,6358,酒井重工業,3600,機械
2784,6360,東京自働機械製作所,3600,機械
2785,6361,荏原製作所,3600,機械
2786,6363,酉島製作所,3600,機械
2787,6364,AIRMAN,3600,機械
2788,6365,電業社機械製作所,3600,機械
2789,6366,千代田化工建設,2050,建設業
2790,6367,ダイキン工業,3600,機械
2791,6368,オルガノ,3600,機械
2792,6369,トーヨーカネツ,3600,機械
2793,6370,栗田工業,3600,機械
2794,6371,椿本チエイン,3600,機械
2795,6376,日機装,3750,精密機器
2796,6378,木村化工機,3600,機械
2797,6379,レイズネクスト,2050,建設業
2798,6380,オリエンタルチエン工業,3600,機械
2799,6381,アネスト岩田,3600,機械
2800,6382,トリニティ工業,3600,機械
2801,6383,ダイフク,3600,機械
2802,6384,昭和真空,3600,機械
2803,6387,サムコ,3600,機械
2804,6390,加藤製作所,3600,機械
2805,6391,加地テック,3600,機械
2806,6392,ヤマダコーポレーション,3600,機械
2807,6393,油研工業,3600,機械
2808,6395,タダノ,3600,機械
2809,6396,宇野澤組鐵工所,3600,機械
2810,6400,不二精機,3600,機械
2811,6402,兼松エンジニアリング,3600,機械
2812,6403,水道機工,3600,機械
2813,6405,鈴茂器工,3600,機械
2814,6407,CKD,3600,機械
2815,6408,小倉クラッチ,3600,機械
2816,6412,平和,3600,機械
2817,6413,理想科学工業,3600,機械
